id_hogar;id_comun;consumo;inghogar;habitant;comuna;m3_libre;m3_edifi;frente
10470;13108;146,72;222333;4;LO BARNECHEA;58,6736069892274;96,0796720130312;9,60796720130312
3713;13108;195,68;368900;4;LO BARNECHEA;83,7553654968843;101,387406165607;10,1387406165607
5357;13108;203,04;396000;6;LO BARNECHEA;72,8983061618996;119,564394853107;11,9564394853107
8807;13108;325,36;293264;7;LO BARNECHEA;150,610647807504;208,60740954294;20,860740954294
10679;13109;233;225583;5;CERRO NAVIA;67,7689469576042;30,7428534212185;3,07428534212185
11923;13109;201;800975;5;CERRO NAVIA;52,7376176487883;31,3599655023448;3,13599655023448
11049;13109;188,64;152667;4;CERRO NAVIA;59,9808711143956;40,1160271614908;4,01160271614908
6782;13109;177,12;80667;4;CERRO NAVIA;62,5190371521788;64,1882060652835;6,41882060652835
11407;13109;179,84;156167;4;CERRO NAVIA;65,3983746647391;68,9411145576785;6,89411145576785
5220;13109;218,8;150000;5;CERRO NAVIA;77,6623742177909;80,7109462785997;8,07109462785997
9743;13109;181,12;403900;4;CERRO NAVIA;70,0738189264621;81,1398668175992;8,11398668175992
3888;13109;267,36;194007;6;CERRO NAVIA;93,8376215013705;90,5010644180181;9,05010644180181
4597;13110;210;20000;6;ÑUÑOA;54,2773672772232;53,7547745755891;5,37547745755891
14785;13110;290,88;451447;6;ÑUÑOA;93,0927154491797;54,6661883877034;5,46661883877034
15436;13110;181,6;348835;4;ÑUÑOA;64,3465598971723;63,2711616213952;6,32711616213952
14488;13110;125,04;137917;3;ÑUÑOA;53,9283248634738;82,1818717886439;8,21818717886439
9843;13110;186,6;175869;5;ÑUÑOA;63,8974284295221;85,4131916016064;8,54131916016064
7218;13111;194,88;197816;4;LA REINA;66,6711371331867;51,2739574237715;5,12739574237715
635;13111;171,2;80000;4;LA REINA;55,6013615528841;51,8908560076652;5,18908560076652
7374;13111;262,08;352000;6;LA REINA;78,8745484345569;53,1515311198;5,31515311198
6953;13111;184,64;255640;4;LA REINA;64,7776881935754;60,2217807401257;6,02217807401257
9537;13111;206,56;89000;4;LA REINA;75,225719539094;60,253803395067;6,0253803395067
14187;13111;253,68;471706;6;LA REINA;78,9997592690014;65,527190160041;6,5527190160041
6802;13111;244,8;255562;5;LA REINA;93,9261326891825;92,3628114549417;9,23628114549417
7166;13111;308,8;300000;8;LA REINA;96,7437235314883;101,284739849111;10,1284739849111
15005;13111;176,16;634620;4;LA REINA;75,7274558238532;105,187690014795;10,5187690014795
14291;13111;901,6;723889;11;LA REINA;193,206963147249;207,163461615472;20,7163461615472
2072;13112;257,2;130000;5;MACUL;86,3271330511647;51,8499163114147;5,18499163114147
5743;13112;264,24;410055;6;MACUL;83,7856450111084;64,8001474106943;6,48001474106943
13449;13112;188,4;288187;5;MACUL;59,3109138955289;69,0812473724449;6,90812473724449
9019;13112;147,36;315000;3;MACUL;62,7362012917922;76,7216535097477;7,67216535097477
14998;13112;154,92;249431;3;MACUL;70,3418058127887;88,7400789877496;8,87400789877496
11429;13112;571,68;314738;12;MACUL;204,260994759177;170,845990217946;17,0845990217946
3268;13113;249;408689;5;LA CISTERNA;79,9219007706752;44,3471476734593;4,43471476734593
7324;13113;259,4;100833;5;LA CISTERNA;86,4300865342243;49,0159414374701;4,90159414374701
10059;13113;147,96;269111;3;LA CISTERNA;54,0276385792722;49,7369768415115;4,97369768415115
11786;13113;182,24;153333;4;LA CISTERNA;62,2803538049264;56,1578197232194;5,61578197232194
